ID_IPEDS,STABBR,year,degree_bach,public,enroll_ftug,grant_federal
103361,AK,2010,0,1,26,15.0
104294,AZ,2010,0,1,208,124.0
104665,AZ,2010,0,1,0,
104805,AZ,2010,0,1,1100,1098.0
105118,AZ,2010,0,1,262,229.0
105516,AZ,2010,0,1,130,122.0
107275,AR,2010,0,1,15,15.0
109332,CA,2010,0,1,290,268.0
110945,CA,2010,0,1,272,250.0
119340,CA,2010,0,1,389,353.0
119368,CA,2010,0,1,36,32.0
119438,CA,2010,0,1,441,383.0
120166,CA,2010,0,1,54,12.0
122694,CA,2010,0,1,236,236.0
136075,FL,2010,0,1,153,138.0
139904,GA,2010,0,1,1194,1086.0
146621,IL,2010,0,1,11,11.0
152220,IN,2010,0,1,240,224.0
157359,KY,2010,0,1,223,190.0
159443,LA,2010,0,1,639,510.0
167543,MA,2010,0,1,400,357.0
174482,MN,2010,0,1,64,35.0
176026,MS,2010,0,1,0,
176549,MO,2010,0,1,237,236.0
178606,MO,2010,0,1,4,4.0
179724,MO,2010,0,1,29,29.0
182430,NV,2010,0,1,14,13.0
182908,NH,2010,0,1,38,19.0
184135,NJ,2010,0,1,450,431.0
193380,NY,2010,0,1,0,
193788,NY,2010,0,1,175,83.0
194541,NY,2010,0,1,306,296.0
195492,NY,2010,0,1,1,1.0
195687,NY,2010,0,1,17,15.0
198996,NC,2010,0,1,10,10.0
202189,OH,2010,0,1,282,276.0
205708,OH,2010,0,1,315,313.0
205726,OH,2010,0,1,227,225.0
211750,PA,2010,0,1,124,123.0
212425,PA,2010,0,1,68,68.0
213312,PA,2010,0,1,331,329.0
213686,PA,2010,0,1,25,21.0
217244,RI,2010,0,1,398,394.0
220941,TN,2010,0,1,24,24.0
222673,TX,2010,0,1,230,228.0
222707,TX,2010,0,1,244,222.0
223214,TX,2010,0,1,0,
223658,TX,2010,0,1,220,200.0
223667,TX,2010,0,1,32,30.0
224907,TX,2010,0,1,121,121.0
228291,TX,2010,0,1,39,38.0
233912,VA,2010,0,1,132,108.0
234687,WA,2010,0,1,12,10.0
237419,WV,2010,0,1,21,21.0
245032,KY,2010,0,1,158,158.0
248776,GA,2010,0,1,169,168.0
249061,IL,2010,0,1,78,78.0
250832,VT,2010,0,1,42,39.0
262457,CA,2010,0,1,202,198.0
364317,MD,2010,0,1,367,359.0
364593,TX,2010,0,1,143,101.0
364618,PA,2010,0,1,58,54.0
365453,OK,2010,0,1,7,7.0
366447,GA,2010,0,1,157,152.0
367316,TX,2010,0,1,378,340.0
372213,AZ,2010,0,1,5616,5436.0
372222,CA,2010,0,1,110,106.0
373119,IL,2010,0,1,156,156.0
373340,KS,2010,0,1,43,38.0
373827,ME,2010,0,1,140,128.0
374112,MO,2010,0,1,15,15.0
377643,WV,2010,0,1,64,53.0
381741,CO,2010,0,1,46,42.0
384209,AZ,2010,0,1,424,423.0
391810,TX,2010,0,1,89,75.0
404921,FL,2010,0,1,144,144.0
405979,AZ,2010,0,1,52,50.0
405988,CO,2010,0,1,33,32.0
406006,CA,2010,0,1,53,50.0
406015,CA,2010,0,1,216,208.0
406051,GA,2010,0,1,97,72.0
407504,OH,2010,0,1,53,51.0
409166,NV,2010,0,1,84,76.0
410539,CO,2010,0,1,120,120.0
411374,IL,2010,0,1,844,813.0
413635,CA,2010,0,1,523,522.0
413918,WI,2010,0,1,21,21.0
416962,NV,2010,0,1,71,70.0
417576,ME,2010,0,1,149,149.0
417743,MO,2010,0,1,7,4.0
417901,NY,2010,0,1,0,
418287,OK,2010,0,1,71,55.0
419262,IN,2010,0,1,19,19.0
419509,CA,2010,0,1,88,87.0
421009,LA,2010,0,1,119,112.0
421018,MI,2010,0,1,138,130.0
422020,CA,2010,0,1,21,19.0
423582,TX,2010,0,1,217,217.0
425870,MA,2010,0,1,2,2.0
430050,MN,2010,0,1,49,49.0
430643,MO,2010,0,1,4,2.0
430847,NJ,2010,0,1,9,6.0
430999,NJ,2010,0,1,202,186.0
432232,FL,2010,0,1,76,73.0
434034,MD,2010,0,1,0,
434122,WV,2010,0,1,16,16.0
434946,FL,2010,0,1,68,66.0
434955,FL,2010,0,1,30,29.0
434964,FL,2010,0,1,48,47.0
434982,OK,2010,0,1,45,45.0
434991,OK,2010,0,1,50,48.0
436225,FL,2010,0,1,492,492.0
437501,NJ,2010,0,1,96,40.0
437927,CA,2010,0,1,312,297.0
438382,CO,2010,0,1,29,27.0
438416,MI,2010,0,1,89,86.0
438610,PA,2010,0,1,99,94.0
438629,PA,2010,0,1,12,11.0
439039,CT,2010,0,1,166,153.0
439279,MO,2010,0,1,86,81.0
439729,SC,2010,0,1,46,45.0
440110,TN,2010,0,1,509,505.0
440129,TX,2010,0,1,778,770.0
440378,VA,2010,0,1,18,18.0
440396,ID,2010,0,1,42,19.0
440439,TX,2010,0,1,35,32.0
440448,TX,2010,0,1,133,124.0
440846,ID,2010,0,1,323,214.0
441432,FL,2010,0,1,109,109.0
442143,MO,2010,0,1,67,64.0
442152,GA,2010,0,1,44,44.0
442170,TN,2010,0,1,145,139.0
442189,VA,2010,0,1,20,17.0
442444,CA,2010,0,1,289,289.0
442462,NJ,2010,0,1,536,535.0
442648,NV,2010,0,1,946,944.0
443076,NC,2010,0,1,0,
443304,IL,2010,0,1,12,12.0
443429,CA,2010,0,1,41,32.0
443456,OH,2010,0,1,7,7.0
443465,KS,2010,0,1,22,21.0
443474,NC,2010,0,1,89,86.0
443739,MO,2010,0,1,394,394.0
443881,GA,2010,0,1,100,94.0
443890,TN,2010,0,1,126,122.0
443906,OH,2010,0,1,9,8.0
443924,AR,2010,0,1,92,90.0
444389,TX,2010,0,1,745,656.0
444750,AR,2010,0,1,5,4.0
445018,WV,2010,0,1,185,132.0
445337,TX,2010,0,1,294,267.0
445452,CA,2010,0,1,1368,1217.0
445531,AR,2010,0,1,22,17.0
445601,TN,2010,0,1,628,622.0
445610,MO,2010,0,1,99,99.0
445674,WV,2010,0,1,149,121.0
445717,CA,2010,0,1,43,42.0
446437,CA,2010,0,1,191,177.0
446491,KY,2010,0,1,21,21.0
446507,UT,2010,0,1,10,8.0
446710,MO,2010,0,1,19,18.0
446738,TX,2010,0,1,23,22.0
446747,TX,2010,0,1,30,30.0
446756,VA,2010,0,1,40,38.0
446765,NC,2010,0,1,18,16.0
446853,OR,2010,0,1,514,485.0
447157,AZ,2010,0,1,45,44.0
447351,CA,2010,0,1,160,157.0
447388,TX,2010,0,1,582,563.0
447652,GA,2010,0,1,58,58.0
447661,NV,2010,0,1,14,13.0
448053,NY,2010,0,1,111,102.0
448266,WA,2010,0,1,24,24.0
448372,CA,2010,0,1,2,2.0
448406,IL,2010,0,1,234,231.0
448521,NE,2010,0,1,11,10.0
448530,AR,2010,0,1,50,49.0
448558,WI,2010,0,1,23,22.0
448831,PA,2010,0,1,11,10.0
449375,CA,2010,0,1,94,41.0
450155,WI,2010,0,1,312,284.0
450474,GA,2010,0,1,74,74.0
450492,TN,2010,0,1,52,51.0
451422,NY,2010,0,1,216,216.0
451440,NY,2010,0,1,100,100.0
451592,VA,2010,0,1,16,16.0
451802,SC,2010,0,1,32,32.0
451811,SC,2010,0,1,37,37.0
452540,OH,2010,0,1,20,17.0
452841,GA,2010,0,1,145,137.0
453127,KY,2010,0,1,4,4.0
453349,OH,2010,0,1,206,205.0
453923,OH,2010,0,1,3,0.0
454731,CA,2010,0,1,90,84.0
455248,NY,2010,0,1,2,1.0
455372,UT,2010,0,1,20,17.0
455415,WI,2010,0,1,4,4.0
455497,AL,2010,0,1,43,43.0
455743,CA,2010,0,1,91,80.0
455789,CO,2010,0,1,11,11.0
456250,NV,2010,0,1,98,86.0
456278,OH,2010,0,1,261,256.0
456630,UT,2010,0,1,0,
456667,OH,2010,0,1,14,8.0
456852,CA,2010,0,1,243,239.0
457217,AZ,2010,0,1,30,30.0
457280,CA,2010,0,1,259,247.0
458308,KS,2010,0,1,22,21.0
458371,MI,2010,0,1,177,172.0
